"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","31","uiauto.basetest","test_base_fuction7","TestBaseFunc7","","","删除记录1",""
"passed","Wed May 17 14:42:06 CST 2023","Wed May 17 14:42:06 CST 2023","0","apiauto","test_doit4","TestCaserun5","","","test_print8",""
"passed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","0","apiauto","test_doit8","Testcaserun8","","","test_modify",""
"passed","Wed May 17 14:42:06 CST 2023","Wed May 17 14:42:08 CST 2023","2001","apiauto","test_doit1","TestCaserun1","","","test_sample1",""
"passed","Wed May 17 14:42:13 CST 2023","Wed May 17 14:42:15 CST 2023","2012","apiauto","test_doit4","TestCaserun5","","","test_print11",""
"passed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","0","uiauto.basetest","test_base_fuction8","TestBaseFunc8","","","删除记录2",""
"passed","Wed May 17 14:42:06 CST 2023","Wed May 17 14:42:06 CST 2023","0","apiauto","test_doit4","TestCaserun5","","","test_print9",""
"passed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","31","apiauto","test_doit7","Testcaserun7","","","test_search",""
"passed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","0","apiauto","test_doit8","Testcaserun8","","","test_search",""
"passed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit6","Testcaserun6","","","test_print19",""
"passed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit5","","","","test_print12",""
"passed","Wed May 17 14:42:08 CST 2023","Wed May 17 14:42:08 CST 2023","0","apiauto","test_doit1","TestCaserun1","","","test_sample2",""
"passed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit7","Testcaserun7","","","test_run",""
"passed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","15","uiauto.basetest","test_base_fuction3","TestBaseFunc3","","","增加新的记录2",""
"passed","Wed May 17 14:42:13 CST 2023","Wed May 17 14:42:13 CST 2023","0","apiauto","test_doit4","","","","test_print10",""
"passed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","0","uiauto.basetest","test_base_fuction4","TestBaseFunc4","","","按条件查找记录",""
"passed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit7","Testcaserun7","","","test_modify",""
"passed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","0","apiauto","test_doit8","Testcaserun8","","","test_add",""
"failed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","16","uiauto.basetest","test_base_fuction2","TestBaseFunc2","","","增加新的记录1",""
"passed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","0","uiauto.basetest","test_base_fuction1","TestBaseFunc1","","","退出管理系统",""
"passed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit7","Testcaserun7","","","test_delete",""
"failed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","0","uiauto.basetest","test_base_fuction5","TestBaseFunc5","","","更改记录1",""
"passed","Wed May 17 14:42:10 CST 2023","Wed May 17 14:42:10 CST 2023","0","apiauto","test_doit2","TestCaserun2","","","test_sample4",""
"passed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","0","uiauto.basetest","test_base_fuction6","TestBaseFunc6","","","更改记录2",""
"passed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","0","apiauto","test_doit8","Testcaserun8","","","test_save",""
"passed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit6","Testcaserun6","","","test_print18",""
"skipped","Wed May 17 14:42:10 CST 2023","Wed May 17 14:42:10 CST 2023","0","apiauto","test_doit3","TestCaserun3","","","test_sample5",""
"passed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","0","apiauto","test_doit8","Testcaserun8","","","test_display",""
"passed","Wed May 17 14:42:08 CST 2023","Wed May 17 14:42:10 CST 2023","2015","apiauto","test_doit2","TestCaserun2","","","test_sample3",""
"passed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit6","Testcaserun6","","","test_print17",""
"passed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit5","","","","test_print14",""
"passed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit6","","","","test_print16",""
"passed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit7","Testcaserun7","","","test_add",""
"failed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","0","apiauto","test_doit8","Testcaserun8","","","test_delete",""
"passed","Wed May 17 14:42:16 CST 2023","Wed May 17 14:42:16 CST 2023","31","uiauto.basetest","test_base_fuction1","TestBaseFunc1","","","登陆ZT管理系统",""
"passed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit7","Testcaserun7","","","test_display",""
"passed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit8","Testcaserun8","","","test_run",""
"failed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit5","","","","test_print15",""
"failed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit5","","","","test_print13",""
"passed","Wed May 17 14:42:10 CST 2023","Wed May 17 14:42:13 CST 2023","3016","apiauto","test_doit3","TestCaserun3","","","test_sample6",""
"passed","Wed May 17 14:42:15 CST 2023","Wed May 17 14:42:15 CST 2023","0","apiauto","test_doit7","Testcaserun7","","","test_save",""
